mediaindonesia,akangilyaas
TheCoboyRiders_,akangilyaas
kompascom,coocot
tempodotco,coocot
jayakabajay,catharinasiena
jpnncom,BarzanyWA
rmolbantencom,BarzanyWA
tempodotco,BarzanyWA
aniesbaswedan,BarzanyWA
dirgarambe,BarzanyWA
podoradong,rosinmunir
jayakabajay,BalqisAR
tijabar,EDitektif
tijabar,EDitektif
jayakabajay,Echacahya10
podoradong,Coffee_K83
aniesbaswedan,Coffee_K83
jayakabajay,yuppiyntsr
jayakabajay,Deikaluthfi
podoradong,wijayaaswan
vctrkmng,dedeartha
RomitsuT,Harwin00923697
musniumar,RayMuha68843402
aniesbaswedan,RayMuha68843402
jayakabajay,Agung7P
podoradong,apriduff63
CNNIndonesia,apriduff63
VIVAcoid,apriduff63
jayakabajay,destiyanaa
isishaki,yosesantonius
lucutanpagaris,netizen_bali
flower_myth,AnugrahFitrah1
mas__piyuuu,AnugrahFitrah1
tijabar,AnugrahFitrah1
G4kNyer4hBR0___,AnugrahFitrah1
tijabar,AnugrahFitrah1
setkabgoid,AnugrahFitrah1
jpnncom,AnugrahFitrah1
firmanyursak,AnugrahFitrah1
Lady_Zeebo,gombaliana
jayakabajay,khanaann
podoradong,arga_wisastra
CNNIndonesia,Rotua_yulita
kumparan,To_Nyelipvespa
BuruhSiluman,To_Nyelipvespa
anjarisme,deesilaisila
dirgarambe,andi_btg
podoradong,Masdjodi1
K1ngPurw4,Masdjodi1
republikaonline,Masdjodi1
tijabar,Masdjodi1
DRespati2,Masdjodi1
tempodotco,Masdjodi1
CNNIndonesia,bercaanda
Lady_Zeebo,DavidKanata
aniesbaswedan,amirullahtahir
sosmedbw,sfi4ns
tempodotco,tempodotco
jayakabajay,domdomnathalia
jayakabajay,DepheDiskaPutri
jayakabajay,Monicaainesftr
sosmedbw,Nidiya_nsm
K1ngPurw4,PideksoRoyo1
Reiza_Patters,PideksoRoyo1
aniesbaswedan,dinopattisdebby
jayakabajay,vipravitasari
jayakabajay,Sri_Rahayu212
jayakabajay,scottlanyik
marlina_idha,ttkwin021
K1ngPurw4,the_janur
BawelNeverDies,rusdian01796366
aniesbaswedan,rusdian01796366
podoradong,rusdian01796366
K1ngPurw4,rusdian01796366
xline_id,rusdian01796366
kumparan,Rido_Lizze
AchmadAnnama,Rido_Lizze
dirgarambe,dankums
ridwankamil,penyusutan
Lady_Zeebo,yayanprastiyo1
aniesbaswedan,yayanprastiyo1
Reiza_Patters,fasyam7
podoradong,fasyam7
KemenkesRI,Riduandjr
MissOposisi,desita5769
CNNIndonesia,qronoz
harisfirdaus,titiknol_jogja
K1ngPurw4,irwan_sahrul
K1ngPurw4,putra_nofi
detikcom,anthonibryan
detikcom,anthonibryan
kumparan,ChristWamea
detikcom,ChristWamea
aniesbaswedan,ChristWamea
liputan6dotcom,ChristWamea
aniesbaswedan,sanrzv
Lady_Zeebo,ronirustamadji
ridwankamil,ronirustamadji
aniesbaswedan,trah1967
ustadtengkuzul,Koces871
CNNIndonesia,rantopram
aniesbaswedan,yunzhu_
podoradong,akunrecehndeso
bos_sir,SiAndi_
Jhonkosmik,TedongNag4
aniesbaswedan,TedongNag4
podoradong,TedongNag4
Kanseulir,TedongNag4
podoradong,Rusly__08
sosmedbw,Azim_Marekhan
CNNIndonesia,pratiko09
TolongJawab,ElshintaDotcom
ustadtengkuzul,KarimTukih
aniesbaswedan,KarimTukih
jpnncom,jurnalis_selow
TheCoboyRiders_,K3muning_1
podoradong,cahadiyat
setkabgoid,ophunkdoank
IrvanKarta,deintania
CNNIndonesia,Itsgldt
CNNIndonesia,Itsgldt
KemenkesRI,neomubitchy
KemenkesRI,neomubitchy
KemenkesRI,neomubitchy
KemenkesRI,neomubitchy
AboutTNG,napuandini
sosmedbw,AriKasio2
dirgarambe,AriKasio2
RomitsuT,AriKasio2
K1ngPurw4,AriKasio2
Gandawan,umam_chaerul
