Yuzri_Andrean,BBCIndonesia
evisusilawati,dirgarambe
evisusilawati,lekopr
evisusilawati,KemenkesRI
evisusilawati,kokokdirgantoro
widi_kartika,0O1972419
widi_kartika,aniesbaswedan
widi_kartika,Berkarya_Info
widi_kartika,podoradong
IndonesiaR4Y4,ridwankamil
yulisyazuriatni,BuruhSiluman
Windrayo_R,ridwankamil
Windrayo_R,TirtoID
pramayudhaamdan,dirgarambe
shilhana,setkabgoid
HarapanBaru16,aniesbaswedan
ingeeefb,jayakabajay
fanialsiregar,rafikeey
nadshart,CNNIndonesia
akangilyaas,mediaindonesia
akangilyaas,TheCoboyRiders_
coocot,kompascom
coocot,tempodotco
catharinasiena,jayakabajay
BarzanyWA,jpnncom
BarzanyWA,rmolbantencom
BarzanyWA,tempodotco
BarzanyWA,aniesbaswedan
BarzanyWA,dirgarambe
rosinmunir,podoradong
BalqisAR,jayakabajay
EDitektif,tijabar
EDitektif,tijabar
Tony_Harto,mochamadarip
Tony_Harto,CNNIndonesia
Tony_Harto,ridwankamil
Tony_Harto,ridwankamil
Tony_Harto,tribunnews
Tony_Harto,jokowi
Tony_Harto,mohmahfudmd
Tony_Harto,airlangga_hrt
Echacahya10,jayakabajay
Coffee_K83,podoradong
Coffee_K83,aniesbaswedan
yuppiyntsr,jayakabajay
Deikaluthfi,jayakabajay
wijayaaswan,podoradong
dedeartha,vctrkmng
Harwin00923697,RomitsuT
RayMuha68843402,musniumar
RayMuha68843402,aniesbaswedan
Agung7P,jayakabajay
apriduff63,podoradong
apriduff63,CNNIndonesia
apriduff63,VIVAcoid
taharuddin_id,JhondoexlxG
taharuddin_id,RAgust23
destiyanaa,jayakabajay
yosesantonius,isishaki
netizen_bali,lucutanpagaris
AnugrahFitrah1,flower_myth
AnugrahFitrah1,mas__piyuuu
AnugrahFitrah1,tijabar
AnugrahFitrah1,G4kNyer4hBR0___
AnugrahFitrah1,DKIJakarta
AnugrahFitrah1,tijabar
AnugrahFitrah1,setkabgoid
AnugrahFitrah1,jpnncom
AnugrahFitrah1,firmanyursak
kartikaaar,jayakabajay
gombaliana,Lady_Zeebo
Taula_,BalikpapanTL
khanaann,jayakabajay
arga_wisastra,podoradong
Rotua_yulita,CNNIndonesia
To_Nyelipvespa,kumparan
To_Nyelipvespa,BuruhSiluman
deesilaisila,dedekant12
deesilaisila,anjarisme
andi_btg,dirgarambe
Masdjodi1,podoradong
Masdjodi1,K1ngPurw4
Masdjodi1,republikaonline
Masdjodi1,tijabar
Masdjodi1,DRespati2
Masdjodi1,tempodotco
btskteahyg,ddlbtalk
btskteahyg,realljhon
btskteahyg,yocnki
btskteahyg,ddlbtalk
bercaanda,CNNIndonesia
DavidKanata,Lady_Zeebo
amirullahtahir,aniesbaswedan
sfi4ns,sosmedbw
hopetimjang,meerkatchorom
tempodotco,tempodotco
MinieMmong,chanscharm
domdomnathalia,jayakabajay
DepheDiskaPutri,jayakabajay
khadizahdewi,HaswanEvan
Monicaainesftr,jayakabajay
Nidiya_nsm,sosmedbw
PideksoRoyo1,K1ngPurw4
PideksoRoyo1,Reiza_Patters
PideksoRoyo1,msi_sohibuliman
PideksoRoyo1,noviar24
PideksoRoyo1,jokowi
dinopattisdebby,aniesbaswedan
vipravitasari,jayakabajay
Hana_Larasati,MariaChrisrini
Sri_Rahayu212,jayakabajay
scottlanyik,jayakabajay
diyanherdi,raraa______
diyanherdi,noviantiputri22
ttkwin021,marlina_idha
the_janur,K1ngPurw4
rusdian01796366,BawelNeverDies
rusdian01796366,aniesbaswedan
rusdian01796366,podoradong
rusdian01796366,K1ngPurw4
rusdian01796366,xline_id
rusdian01796366,aniesbaswedan
Rido_Lizze,kumparan
Rido_Lizze,ridwankamil
Rido_Lizze,AchmadAnnama
dankums,dirgarambe
penyusutan,ridwankamil
yayanprastiyo1,Lady_Zeebo
yayanprastiyo1,aniesbaswedan
